GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ping,com.demo.service,PingService,11,150,2,2,2,40,2,10,0,10
ping,com.demo.config,RedisConfig,3,78,0,0,1,24,1,10,1,10
ping,com.demo.service.impl,RedisThrottlingService,0,44,0,4,0,8,0,5,0,3
ping,com.demo.service.impl,ThrottlingServiceFactory,0,34,0,6,0,8,0,5,0,2
ping,com.demo.service.impl,RedissonThrottlingService,0,39,2,4,0,8,2,4,0,3
ping,com.demo.service.impl,FileLockThrottlingService,91,277,30,24,17,71,22,14,0,9
ping,com.demo,PingApplication,24,3,2,0,7,1,2,1,1,1
