GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pong,com.demo.kafka,KafkaConfig,3,119,0,0,1,25,1,6,1,6
pong,com.demo.kafka,KafkaProducerService,0,21,0,0,0,5,0,3,0,3
pong,com.demo.kafka,KafkaConsumerService,6,25,0,0,2,8,0,3,0,3
pong,com.demo.service.impl,MemoryThrottlingService,0,17,0,0,0,5,0,3,0,3
pong,com.demo.model,Message,0,33,0,0,0,15,0,8,0,8
pong,com.demo.controller,PongController,0,37,0,2,0,8,0,4,0,3
pong,com.demo,PongApplication,5,3,0,0,2,1,1,1,1,1
